,FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
1660,6059099247,36.4,4.29,63250.0,19474.0,0.3491,38.09999847,1548.0,5.181347150259067,36.04753521126761,17.56161971830986
1661,6059099248,30.6,3.92,48315.0,17246.0,0.4462,38.29999924,1612.0,2.8990963855421685,42.07369323050557,11.739502999143102
1662,6059099249,27.0,5.1,58563.0,14933.0,0.3548,31.20000076,1516.0,5.321188878235858,48.13717188823031,5.50381033022862
1663,6059042305,52.8,2.56,177344.0,99228.0,0.5017,24.0,2791.0,7.3125,1.7343173431734318,70.7380073800738
1664,6059042313,40.7,2.26,68125.0,42302.0,0.4491,34.70000076,1782.0,3.5276825085742285,11.48919900592621,34.792582680175876
1665,6059042317,56.8,2.4,121875.0,73622.0,0.5281,34.70000076,2203.0,2.2869022869022873,2.8548451950140734,61.51990349819059
1666,6059042319,46.3,2.9,127667.0,54695.0,0.4016,27.29999924,3501.0,1.2861736334405145,2.2644561261625555,55.76223210675293
1667,6059042323,53.2,2.19,140918.0,85264.0,0.451,26.89999962,2000.0,2.4559967253376995,2.642627809335638,67.17708076068165
1668,6059042324,58.4,1.96,98654.0,87508.0,0.5398,37.29999924,2511.0,2.1872265966754156,2.212166918049271,48.74308697838109
1669,6059042325,50.0,2.33,118411.0,81427.0,0.4728,24.20000076,2287.0,4.05,1.680672268907563,67.19187675070029
1670,6059042326,45.8,2.66,118468.0,57942.0,0.4245,29.70000076,2200.0,2.4154589371980677,2.0890599230346347,53.29851566794942
1671,6059042329,47.3,2.71,97000.0,52461.0,0.4853,51.0,2399.0,3.731343283582089,4.519584867760294,48.81151657181118
1672,6059042331,33.2,2.85,83125.0,41701.0,0.4285,43.29999924,2177.0,1.7158931082981717,11.62375732857507,47.79505480499618
1673,6059042332,50.7,2.38,129676.0,106609.0,0.5932,39.79999924,2250.0,1.813110181311018,2.970783206481709,61.55168180702185
1674,6059042336,47.7,2.77,142386.0,56947.0,0.3816,28.29999924,3099.0,4.691572545612511,3.597359735973597,61.68316831683168
1675,6059042338,48.8,2.32,107424.0,61353.0,0.4651,32.90000153,2443.0,3.6405529953917046,3.1560490940970194,62.01052016364699
1676,6059042339,49.0,2.35,100842.0,58371.0,0.4482,32.70000076,2240.0,6.546165119687347,5.399151561897416,49.132279213266486
1677,6059062605,50.8,1.76,82231.0,68733.0,0.4954,34.0,2097.0,4.824120603015075,5.18375241779497,58.06576402321083
1678,6059062619,53.2,2.27,136688.0,94351.0,0.5113,33.59999847,2471.0,1.9796380090497736,5.043420173680695,66.43286573146293
1679,6059062620,52.5,2.28,160556.0,103023.0,0.496,28.0,2630.0,7.776108189331329,0.922266139657444,65.98155467720686
1680,6059062632,54.4,2.4,156875.0,99191.0,0.5372,23.70000076,2238.0,6.625891946992865,2.459526774595268,63.07596513075965
1681,6059032022,33.9,3.16,75781.0,28599.0,0.3464,45.5,1872.0,2.8670029200955667,19.315300084530854,28.42349957734573
1682,6059032023,37.9,3.13,163454.0,63116.0,0.4062,30.39999962,2571.0,2.7076318742985412,3.033185373071232,60.97019657577679
1683,6059032058,34.1,3.46,189464.0,79074.0,0.4629,27.20000076,3157.0,3.99673735725938,2.202835332606325,71.69029443838603
1684,6059032059,31.5,3.4,153873.0,51301.0,0.3548,37.59999847,2330.0,2.946341463414634,4.374891924606605,61.81912502161507
1685,6059032061,44.6,2.85,146563.0,78219.0,0.4752,23.0,1853.0,3.4560143626570916,1.2075471698113207,65.0314465408805
1686,6059042103,43.7,2.71,104167.0,54457.0,0.4701,31.10000038,1721.0,6.1862678450034,5.282112845138055,50.488766935345566
1687,6059042106,59.0,2.38,128333.0,77943.0,0.5336,27.20000076,3026.0,3.2648125755743655,3.357142857142857,53.214285714285715
1688,6059042107,34.5,2.56,64565.0,32892.0,0.4077,34.40000153,1695.0,4.907677356656948,8.941755537325676,31.091058244462676
1689,6059042108,39.3,2.1,76146.0,50550.0,0.4955,29.20000076,1766.0,5.97169485674836,13.59126984126984,44.46924603174603
1690,6059042109,44.8,2.54,86853.0,52467.0,0.4479,35.0,1982.0,2.083333333333333,7.587382779198635,48.16709292412617
1691,6059042111,51.2,2.69,139868.0,61657.0,0.389,21.79999924,2451.0,3.5510887772194306,4.409828872312418,52.32558139534884
1692,6059042112,45.5,2.9,154417.0,70405.0,0.4553,38.59999847,2784.0,4.467153284671533,4.780278670953912,54.855305466237944
1693,6059042113,55.6,2.34,113462.0,63801.0,0.4949,26.0,1517.0,2.538787023977433,3.5989717223650386,45.8154812910597
1694,6059042114,48.6,2.39,89648.0,56983.0,0.5068,43.90000153,2142.0,5.734939759036144,4.008826774549467,45.82567120264803
1695,6059042203,52.0,2.49,102458.0,69707.0,0.4875,44.09999847,2480.0,3.545706371191136,2.770870337477797,47.4955595026643
1696,6059042205,48.0,2.7,136211.0,59360.0,0.4188,27.79999924,2193.0,4.678970626462179,5.245447347585115,46.61520190023753
1697,6059042201,55.1,2.17,86960.0,60453.0,0.4928,32.09999847,1901.0,3.332222592469177,11.11111111111111,38.04713804713805
1698,6059042206,52.3,2.19,92078.0,53219.0,0.4187,38.59999847,2594.0,3.0353200883002205,3.0785947120608474,50.09054690329591
1699,6059042310,45.3,2.41,61757.0,38295.0,0.4807,51.0,1943.0,1.728795245813074,11.67276355171267,29.06551380113069
1700,6059042311,54.9,2.61,125347.0,71013.0,0.4919,39.09999847,2704.0,5.967792863909062,10.087813236239024,58.70636110516171
1701,6059042312,29.8,3.93,62500.0,27587.0,0.5156,44.40000153,1763.0,4.3903454015813566,30.595555555555553,22.95111111111111
1702,6059042315,46.1,2.39,99792.0,51204.0,0.4233,35.09999847,1936.0,7.951329937747595,6.7513368983957225,51.04723707664884
